2022-12-18 19:31:59.009226: Владимир, 5135099404, /hi
2022-12-18 19:32:04.159324: Владимир, 5135099404, /help
2022-12-18 19:32:07.535670: Владимир, 5135099404, /time
2022-12-18 19:32:14.689662: Владимир, 5135099404, /sum 100 23
2022-12-18 19:39:08.860396: Владимир, Данилов, 5135099404, /hi
2022-12-18 19:39:11.234430: Владимир, Данилов, 5135099404, /time
2022-12-18 19:39:17.399666: Владимир, Данилов, 5135099404, /help
2022-12-18 19:39:26.466594: Владимир, Данилов, 5135099404, /sum 12390 1234
2022-12-25 10:33:23.676185: Владимир, Данилов, 5135099404, /hi
2022-12-25 10:33:30.178628: Владимир, Данилов, 5135099404, /help
2022-12-25 10:33:38.820132: Владимир, Данилов, 5135099404, /time
2022-12-25 10:33:54.377775: Владимир, Данилов, 5135099404, /sum 12 345
2022-12-25 10:46:33.609175: Владимир, Данилов, 5135099404, /help
2022-12-25 10:46:42.403959: Владимир, Данилов, 5135099404, /time
